hora;direcao;linha
20:39:08.317;RX;ESP-ROM:esp32s3-20210327
20:39:08.319;RX;Build:Mar 27 2021
20:39:08.323;RX;rst:0x1 (POWERON),boot:0x8 (SPI_FAST_FLASH_BOOT)
20:39:08.330;RX;SPIWP:0xee
20:39:08.331;RX;mode:DIO, clock div:1
20:39:08.336;RX;load:0x3fce3808,len:0x4bc
20:39:08.337;RX;load:0x403c9700,len:0xbd8
20:39:08.338;RX;load:0x403cc700,len:0x2a0c
20:39:08.339;RX;entry 0x403c98d0
20:39:08.339;RX;"sep=;"
20:39:08.454;RX;"ms;SP_mm;Y1;Y2;Y3;Y4;Y5;Y6;PWM1;PWM2;PWM3;PWM4;PWM5;PWM6"
20:39:08.463;RX;"99;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:39:08.465;RX;"199;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:39:08.577;RX;"299;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:39:08.683;RX;"399;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:39:08.788;RX;"499;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:39:08.895;RX;"599;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:39:09.005;RX;"699;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:39:09.113;RX;"799;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:39:09.221;RX;"899;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:39:09.223;RX;"999;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:39:09.330;RX;"1099;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:39:09.440;RX;"1199;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:39:09.551;RX;"1299;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:39:09.659;RX;"1399;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:39:09.763;RX;"1499;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:39:09.868;RX;"1599;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:39:09.977;RX;"1699;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:39:10.084;RX;"1799;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
