hora;direcao;linha
20:40:22.203;RX;"53099;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:40:22.309;RX;"53199;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:40:22.417;RX;"53299;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:40:22.529;RX;"53399;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:40:22.635;RX;"53499;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:40:22.743;RX;"53599;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:40:22.850;RX;"53699;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:40:22.959;RX;"53799;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:40:22.961;RX;"53899;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:40:23.067;RX;"53999;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:40:23.178;RX;"54099;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:40:23.286;RX;"54199;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:40:23.397;RX;"54299;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:40:23.509;RX;"54399;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:40:23.613;RX;"54499;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:40:23.722;RX;"54599;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:40:23.828;RX;"54699;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:40:23.933;RX;"54799;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:40:24.038;RX;"54899;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:40:24.143;RX;"54999;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:40:24.248;RX;"55099;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:40:24.353;RX;"55199;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:40:24.355;RX;"55299;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:40:24.458;RX;"55399;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:40:24.563;RX;"55499;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:40:24.668;RX;"55599;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:40:24.778;RX;"55699;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:40:24.887;RX;"55799;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:40:24.997;RX;"55899;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:40:25.103;RX;"55999;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:40:25.212;RX;"56099;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:40:25.318;RX;"56199;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:40:25.423;RX;"56299;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:40:25.528;RX;"56399;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:40:25.633;RX;"56499;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:40:25.738;RX;"56599;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:40:25.847;RX;"56699;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:40:25.953;RX;"56799;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:40:25.954;RX;"56899;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:40:26.058;RX;"56999;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:40:26.163;RX;"57099;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:40:26.270;RX;"57199;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:40:26.379;RX;"57299;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;47;0;0;0;0"
20:40:26.485;RX;"57399;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;47;0;0;0;0"
20:40:26.594;RX;"57499;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;47;0;0;0;0"
20:40:26.702;RX;"57600;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;47;0;0;0;0"
20:40:26.812;RX;"57699;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;47;0;0;0;0"
20:40:26.920;RX;"57799;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;47;0;0;0;0"
20:40:27.025;RX;"57899;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;47;0;0;0;0"
20:40:27.136;RX;"57999;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;47;0;0;0;0"
20:40:27.244;RX;"58099;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;47;0;0;0;0"
20:40:27.352;RX;"58199;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;47;0;0;0;0"
20:40:27.463;RX;"58299;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;47;0;0;0;0"
20:40:27.466;RX;"58399;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;47;0;0;0;0"
20:40:27.570;RX;"58499;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;47;0;0;0;0"
20:40:27.675;RX;"58600;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;47;0;0;0;0"
20:40:27.780;RX;"58699;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;47;0;0;0;0"
20:40:27.885;RX;"58799;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;47;0;0;0;0"
20:40:27.991;RX;"58899;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;47;0;0;0;0"
20:40:28.100;RX;"58999;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;47;0;0;0;0"
20:40:28.205;RX;"59099;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;47;0;0;0;0"
20:40:28.310;RX;"59199;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;47;0;0;0;0"
20:40:28.418;RX;"59299;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;47;0;0;0;0"
20:40:28.524;RX;"59399;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;47;0;0;0;0"
20:40:28.635;RX;"59499;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;47;0;0;0;0"
20:40:28.747;RX;"59599;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;47;0;0;0;0"
20:40:28.854;RX;"59699;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;47;0;0;0;0"
20:40:28.960;RX;"59799;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;47;0;0;0;0"
20:40:28.964;RX;"59899;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;47;0;0;0;0"
