hora;direcao;linha
19:58:54.130;RX;ESP-ROM:esp32s3-20210327
19:58:54.131;RX;Build:Mar 27 2021
19:58:54.132;RX;rst:0x1 (POWERON),boot:0x8 (SPI_FAST_FLASH_BOOT)
19:58:54.132;RX;SPIWP:0xee
19:58:54.133;RX;mode:DIO, clock div:1
19:58:54.134;RX;load:0x3fce3808,len:0x4bc
19:58:54.135;RX;load:0x403c9700,len:0xbd8
19:58:54.135;RX;load:0x403cc700,len:0x2a0c
19:58:54.136;RX;entry 0x403c98d0
19:58:54.137;RX;"sep=;"
19:58:54.137;RX;"ms;SP_mm;Y1;Y2;Y3;Y4;Y5;Y6;PWM1;PWM2;PWM3;PWM4;PWM5;PWM6"
19:58:54.257;RX;"99;0.000;0.000;1.316;0.000;0.000;0.000;0.000;0;31;0;0;0;0"
19:58:54.261;RX;"200;0.000;0.000;0.046;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:58:54.364;RX;"299;0.000;0.000;0.031;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:58:54.470;RX;"399;0.000;0.000;0.018;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:58:54.575;RX;"499;0.000;0.000;0.093;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:58:54.680;RX;"599;0.000;0.000;0.036;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:58:54.785;RX;"699;0.000;0.000;0.006;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:58:54.893;RX;"799;0.000;0.000;0.082;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:58:55.000;RX;"899;0.000;0.000;0.047;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:58:55.108;RX;"999;0.000;0.000;0.001;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:58:55.215;RX;"1099;0.000;0.000;0.075;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:58:55.323;RX;"1199;0.000;0.000;0.018;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:58:55.433;RX;"1299;0.000;0.000;0.066;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:58:55.435;RX;"1399;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:58:55.543;RX;"1499;0.000;0.000;0.053;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:58:55.652;RX;"1599;0.000;0.000;0.057;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:58:55.762;RX;"1699;0.000;0.000;0.056;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:58:55.874;RX;"1799;0.000;0.000;0.020;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:58:55.985;RX;"1899;0.000;0.000;0.015;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:58:56.096;RX;"1999;0.000;0.000;0.009;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:58:56.208;RX;"2099;0.000;0.000;0.016;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:58:56.319;RX;"2199;0.000;0.000;0.067;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:58:56.432;RX;"2300;0.000;0.000;0.044;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:58:56.432;RX;"2399;0.000;0.000;0.008;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:58:56.541;RX;"2499;0.000;0.000;0.038;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
19:58:56.653;RX;"2599;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
