hora;direcao;linha
20:00:31.585;RX;"16099;0.000;0.000;0.049;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:31.696;RX;"16199;0.000;0.000;0.086;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:31.806;RX;"16299;0.000;0.000;0.021;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:31.914;RX;"16399;0.000;0.000;0.080;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:32.024;RX;"16499;0.000;0.000;0.055;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:32.129;RX;"16599;0.000;0.000;0.039;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:32.239;RX;"16699;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:32.349;RX;"16799;0.000;0.000;0.129;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:32.450;RX;"16899;0.000;0.000;0.088;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:32.558;RX;"16999;0.000;0.000;0.099;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:32.560;RX;"17099;0.000;0.000;0.028;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:32.771;RX;"17199;0.000;0.000;0.042;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:32.772;RX;"17299;0.000;0.000;0.123;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:32.880;RX;"17399;0.000;0.000;0.061;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:32.990;RX;"17499;0.000;0.000;0.078;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:33.106;RX;"17599;0.000;0.000;0.087;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:33.206;RX;"17699;0.000;0.000;0.072;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:33.315;RX;"17799;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:33.425;RX;"17899;0.000;0.000;0.041;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:33.535;RX;"17999;0.000;0.000;0.024;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:33.646;RX;"18099;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:33.866;RX;"18199;0.000;0.000;0.057;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:33.867;RX;"18299;0.000;0.000;0.002;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:33.868;RX;"18399;0.000;0.000;0.048;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:33.976;RX;"18499;0.000;0.000;0.109;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:34.087;RX;"18599;0.000;0.000;0.037;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:34.199;RX;"18699;0.000;0.000;0.098;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:34.309;RX;"18799;0.000;0.000;0.047;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:34.415;RX;"18899;0.000;0.000;0.084;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:34.522;RX;"18999;0.000;0.000;0.053;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:34.631;RX;"19099;0.000;0.000;0.005;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:34.740;RX;"19199;0.000;0.000;0.035;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:34.849;RX;"19299;0.000;0.000;0.012;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:34.959;RX;"19399;0.000;0.000;0.076;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:34.961;RX;"19499;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:35.069;RX;"19599;0.000;0.000;0.065;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:35.181;RX;"19699;0.000;0.000;0.068;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:35.292;RX;"19799;0.000;0.000;0.063;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:35.402;RX;"19899;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:35.515;RX;"19999;0.000;0.000;0.027;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:35.622;RX;"20099;0.000;0.000;0.051;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:35.731;RX;"20199;0.000;0.000;0.085;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:35.842;RX;"20299;0.000;0.000;0.099;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:35.953;RX;"20399;0.000;0.000;0.090;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:36.065;RX;"20499;0.000;0.000;0.104;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:36.067;RX;"20599;0.000;0.000;0.164;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:36.177;RX;"20699;0.000;0.000;0.052;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:00:36.286;RX;"20799;0.000;0.000;0.063;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
