hora;direcao;linha
20:46:18.724;RX;ESP-ROM:esp32s3-20210327
20:46:18.725;RX;Build:Mar 27 2021
20:46:18.725;RX;rst:0x1 (POWERON),boot:0x8 (SPI_FAST_FLASH_BOOT)
20:46:18.727;RX;SPIWP:0xee
20:46:18.728;RX;mode:DIO, clock div:1
20:46:18.730;RX;load:0x3fce3808,len:0x4bc
20:46:18.730;RX;load:0x403c9700,len:0xbd8
20:46:18.732;RX;load:0x403cc700,len:0x2a0c
20:46:18.732;RX;entry 0x403c98d0
20:46:18.733;RX;"sep=;"
20:46:18.845;RX;"ms;SP_mm;Y1;Y2;Y3;Y4;Y5;Y6;PWM1;PWM2;PWM3;PWM4;PWM5;PWM6"
20:46:18.850;RX;"99;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:46:18.858;RX;"199;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:46:18.969;RX;"299;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:46:19.080;RX;"399;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:46:19.190;RX;"499;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:46:19.302;RX;"599;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:46:19.412;RX;"699;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:46:19.522;RX;"799;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:46:19.633;RX;"899;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:46:19.634;RX;"999;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:46:19.743;RX;"1099;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:46:19.853;RX;"1200;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:46:19.963;RX;"1299;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:46:20.073;RX;"1399;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:46:20.179;RX;"1499;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:46:20.285;RX;"1599;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:46:20.391;RX;"1699;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:46:20.499;RX;"1799;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:46:20.608;RX;"1899;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:46:20.715;RX;"1999;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
20:46:20.822;RX;"2099;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0;0;0;0;0;0"
