hora;direcao;linha
19:07:49.467;RX;"19699;0.000;30.122;34.739;3.064;28.668;9.455;5.406;38;47;12;43;21;17"
19:07:49.470;RX;"19799;0.000;32.803;32.892;4.818;32.871;9.609;16.769;41;45;14;47;21;28"
19:07:49.573;RX;"19899;0.000;32.019;34.181;5.547;35.635;9.505;14.768;40;46;15;50;21;26"
19:07:49.678;RX;"19999;0.000;29.923;35.567;4.479;31.787;9.777;6.804;38;48;14;46;21;18"
19:07:49.785;RX;"20099;0.000;30.187;35.918;0.703;35.146;9.044;12.347;38;48;10;50;20;24"
19:07:49.889;RX;"20199;0.000;31.137;36.126;3.353;33.567;10.049;11.343;39;48;13;48;21;23"
19:07:49.994;RX;"20300;0.000;31.319;37.604;4.154;33.696;9.828;11.015;39;50;14;48;21;22"
19:07:50.099;RX;"20399;0.000;33.649;35.007;4.414;35.086;10.168;15.603;42;47;14;50;22;27"
19:07:50.207;RX;"20499;0.000;31.460;37.850;1.961;36.841;9.838;11.519;39;50;11;51;21;23"
19:07:50.313;RX;"20599;0.000;31.367;36.946;4.038;31.766;10.003;7.802;39;49;13;46;21;19"
19:07:50.420;RX;"20699;0.000;32.901;36.598;2.631;33.551;9.220;11.351;41;49;12;48;21;23"
19:07:50.527;RX;"20799;0.000;31.723;37.522;3.329;34.578;8.858;9.248;40;50;13;49;20;21"
19:07:50.632;RX;"20899;0.000;32.956;37.414;4.018;33.775;11.837;12.855;41;49;13;48;23;24"
19:07:50.741;RX;"20999;0.000;32.834;36.778;4.371;35.200;9.454;14.187;41;49;14;50;21;26"
19:07:50.848;RX;"21099;0.000;30.215;40.924;2.972;37.956;10.890;12.026;38;53;12;52;22;23"
19:07:50.957;RX;"21199;0.000;30.851;37.855;2.054;39.947;9.164;14.359;39;50;11;54;21;26"
19:07:51.065;RX;"21299;0.000;32.181;33.125;7.204;29.407;12.358;9.491;40;45;17;44;24;21"
19:07:51.065;RX;"21399;0.000;32.095;35.949;3.143;34.263;9.120;10.606;40;48;13;49;21;22"
19:07:51.173;RX;"21499;0.000;30.928;34.100;4.456;29.307;13.006;5.194;39;46;14;44;24;17"
19:07:51.281;RX;"21599;0.000;32.841;37.901;3.176;34.589;11.067;13.518;41;50;13;49;22;25"
19:07:51.390;RX;"21699;0.000;32.883;36.017;5.712;36.550;8.589;12.857;41;48;15;51;20;24"
19:07:51.499;RX;"21799;0.000;31.200;36.224;3.709;31.246;10.676;5.395;39;48;13;46;22;17"
19:07:51.606;RX;"21899;0.000;35.461;31.628;10.037;31.824;9.501;12.467;43;44;19;46;21;24"
