hora;direcao;linha
22:58:29.785;RX;"23369;10.000;31.832;15.234;7.479;24.095;8.488;9.272;255;230;39;215;15;93"
22:58:29.891;RX;"23469;10.000;40.668;28.028;17.306;27.097;13.412;5.419;255;255;30;231;40;113"
22:58:30.001;RX;"23569;10.000;19.645;22.732;24.494;16.982;10.133;6.909;232;255;66;181;0;106"
22:58:30.003;RX;"23669;10.000;21.474;22.720;17.117;17.588;18.756;5.101;242;255;30;185;67;115"
22:58:30.109;RX;"23769;10.000;23.638;30.400;6.239;19.294;6.723;7.113;254;255;45;194;19;105"
22:58:30.214;RX;"23869;10.000;25.560;22.642;11.427;25.314;19.732;8.752;255;255;19;224;73;97"
22:58:30.321;RX;"23970;10.000;28.157;37.534;4.050;32.207;13.796;3.120;255;255;56;255;43;125"
22:58:30.429;RX;"24070;10.000;9.239;20.029;12.334;26.518;10.599;9.809;183;255;14;232;27;0"
22:58:30.534;RX;"24171;10.000;21.816;26.239;18.567;22.771;13.520;2.537;247;255;37;213;42;129"
22:58:30.643;RX;"24271;10.000;14.220;19.291;16.108;15.988;9.713;5.549;209;255;25;180;23;114"
22:58:30.749;RX;"24372;10.000;14.631;26.046;8.086;23.347;12.196;0.000;212;255;35;217;36;142"
22:58:30.854;RX;"24472;10.000;27.415;26.154;8.128;18.837;12.121;4.735;255;255;35;196;36;119"
22:58:30.962;RX;"24573;10.000;21.226;24.341;18.783;20.853;20.447;2.588;246;255;39;206;78;129"
22:58:31.069;RX;"24673;10.000;21.927;37.489;34.117;28.415;32.955;4.297;250;255;116;245;141;121"
22:58:31.176;RX;"24773;10.000;21.663;17.624;16.718;21.552;8.365;5.098;250;254;30;211;19;117"
22:58:31.283;RX;"24873;10.000;29.196;22.791;0.000;24.246;10.949;7.083;255;255;74;225;32;108"
22:58:31.389;RX;"24973;10.000;27.998;28.116;19.207;29.667;22.609;4.675;255;255;42;253;90;120"
22:58:31.497;RX;"25073;10.000;27.644;26.145;6.617;16.063;8.320;3.858;255;255;40;185;19;124"
22:58:31.605;RX;"25173;10.000;24.338;32.506;18.913;28.734;22.660;9.677;255;255;41;249;91;95"
22:58:31.607;RX;"25274;10.000;24.377;32.018;30.388;27.770;21.020;5.498;255;255;99;245;83;116"
22:58:31.713;RX;"25374;10.000;21.393;29.995;29.511;20.645;11.989;0.159;253;255;95;211;38;143"
22:58:31.819;RX;"25475;10.000;24.644;30.070;23.458;27.530;27.563;0.000;255;255;65;246;117;144"
22:58:31.924;RX;"25575;10.000;26.004;29.592;16.901;25.477;22.401;7.695;255;255;33;236;91;106"
22:58:32.035;RX;"25676;10.000;34.758;29.887;16.772;23.897;20.720;0.000;255;255;32;229;83;145"
22:58:32.142;RX;"25776;10.000;33.039;31.872;21.131;22.079;25.212;8.722;255;255;54;220;106;102"
22:58:32.245;RX;"25877;10.000;34.093;26.175;11.295;19.048;9.887;3.273;255;255;14;206;0;129"
22:58:32.352;RX;"25977;10.000;26.950;38.236;25.533;29.379;21.816;0.000;255;255;77;255;90;146"
22:58:32.460;RX;"26077;10.000;29.736;34.358;30.811;23.566;7.239;5.732;255;255;104;229;17;117"
22:58:32.570;RX;"26177;10.000;26.905;23.891;22.615;25.892;3.351;12.289;255;255;63;241;28;85"
22:58:32.672;RX;"26276;10.000;22.164;23.008;14.499;22.461;2.138;3.075;255;255;23;225;35;131"
22:58:32.781;RX;"26377;10.000;26.839;31.527;16.336;26.385;4.834;7.957;255;255;33;245;21;106"
22:58:32.889;RX;"26477;10.000;30.742;30.982;13.391;24.527;10.671;7.665;255;255;18;236;34;108"
22:58:33.001;RX;"26578;10.000;35.060;29.178;13.229;19.915;12.613;5.843;255;255;17;213;44;117"
22:58:33.109;RX;"26678;10.000;21.038;32.153;16.964;33.655;15.892;12.400;255;255;36;255;61;85"
22:58:33.110;RX;"26778;10.000;30.577;32.340;12.046;25.962;12.712;10.019;255;255;12;245;45;0"
22:58:33.218;RX;"26878;10.000;33.976;35.314;11.037;36.708;15.625;8.683;255;255;13;255;60;104"
22:58:33.325;RX;"26977;10.000;34.501;33.044;16.958;26.278;16.444;6.026;255;255;37;247;64;117"
22:58:33.434;RX;"27078;10.000;31.952;31.841;6.686;22.896;13.640;8.485;255;255;35;231;50;105"
22:58:33.542;RX;"27178;10.000;25.662;29.562;23.665;33.691;18.807;10.124;255;255;70;255;76;0"
22:58:33.650;RX;"27278;10.000;35.510;45.712;25.539;27.476;6.512;0.000;255;255;80;255;15;148"
22:58:33.759;RX;"27379;10.000;33.676;31.925;12.409;29.331;12.226;11.421;255;255;15;255;44;91"
22:58:33.866;RX;"27479;10.000;32.057;40.326;7.572;25.737;21.639;0.000;255;255;29;248;91;148"
22:58:33.972;RX;"27580;10.000;38.248;28.815;0.000;31.526;10.229;11.340;255;255;67;255;35;92"
22:58:34.078;RX;"27680;10.000;19.903;35.297;14.703;22.029;31.038;6.002;255;255;26;230;139;118"
22:58:34.188;RX;"27781;10.000;32.733;32.889;9.212;21.170;26.058;0.423;255;255;21;227;114;147"
22:58:34.298;RX;"27881;10.000;24.572;40.671;0.000;18.888;11.181;0.000;255;255;67;216;40;149"
22:58:34.406;RX;"27982;10.000;28.821;26.866;23.224;23.109;23.295;1.982;255;255;69;238;101;139"
22:58:34.514;RX;"28082;10.000;26.362;24.443;1.564;15.673;19.293;5.311;255;255;60;201;82;123"
22:58:34.517;RX;"28183;10.000;24.512;33.342;16.799;30.961;18.237;4.441;255;255;36;255;76;127"
22:58:34.621;RX;"28283;10.000;25.782;19.738;24.420;28.785;8.269;8.509;255;255;75;255;27;107"
22:58:34.728;RX;"28384;10.000;22.260;25.302;21.188;15.613;9.088;4.309;255;255;59;203;31;128"
22:58:34.834;RX;"28484;10.000;19.621;32.415;18.777;19.288;21.384;0.606;255;255;47;222;92;147"
22:58:34.943;RX;"28584;10.000;31.868;19.621;11.445;21.317;8.983;7.296;255;255;10;232;31;114"
22:58:35.049;RX;"28684;10.000;27.731;31.805;9.806;24.119;18.675;3.135;255;255;0;247;80;135"
22:58:35.156;RX;"28783;10.000;28.094;22.359;4.735;29.856;17.856;4.774;255;255;43;255;76;127"
22:58:35.262;RX;"28884;10.000;16.916;29.106;17.712;16.453;13.688;9.692;253;255;42;210;56;102"
22:58:35.372;RX;"28984;10.000;15.219;27.313;13.325;18.675;19.576;0.000;245;255;20;222;85;151"
22:58:35.476;RX;"29084;10.000;22.413;26.800;17.423;20.609;22.687;6.131;255;255;41;232;101;120"
22:58:35.582;RX;"29184;10.000;30.364;28.472;30.277;26.683;39.134;6.359;255;255;106;255;184;119"
22:58:35.688;RX;"29284;10.000;21.393;21.017;12.436;17.372;9.109;8.302;255;255;17;217;34;110"
22:58:35.796;RX;"29384;10.000;19.609;24.997;0.829;14.349;14.028;5.843;255;255;62;203;59;122"
22:58:35.904;RX;"29484;10.000;12.798;21.552;21.038;17.054;26.689;4.786;236;255;59;217;122;128"
22:58:36.013;RX;"29585;10.000;21.759;23.215;10.560;10.169;6.197;3.858;255;255;13;0;20;132"
22:58:36.124;RX;"29685;10.000;20.894;28.586;4.288;21.705;15.778;5.498;255;255;44;241;68;124"
22:58:36.130;RX;"29786;10.000;20.891;22.843;21.912;20.240;24.683;7.957;255;255;64;234;113;112"
22:58:36.247;RX;"29886;10.000;20.011;30.700;14.025;18.543;28.737;1.399;255;255;25;226;134;145"
22:58:36.356;RX;"29986;10.000;17.669;21.684;12.673;25.392;16.441;2.273;255;255;18;255;73;141"
22:58:36.466;RX;"30086;10.000;17.312;23.773;1.380;15.793;11.382;4.732;255;255;58;214;47;129"
22:58:36.569;RX;"30186;10.000;21.657;28.615;14.580;24.860;17.090;3.648;255;255;27;255;76;134"
22:58:36.675;RX;"30286;10.000;12.178;29.508;17.859;22.852;19.933;10.815;238;255;44;250;91;99"
