20:28:09.518;ms;SP;FB
20:28:09.519;99;0.000;7.218
20:28:09.622;199;0.000;7.226
20:28:09.623;299;0.000;7.197
20:28:09.625;399;0.000;7.247
20:28:09.625;499;0.000;7.197
20:28:09.732;599;0.000;7.190
20:28:09.839;699;0.000;7.198
20:28:09.949;799;0.000;7.229
20:28:10.059;899;0.000;7.205
20:28:10.166;999;0.000;7.230
20:28:10.273;1099;0.000;7.216
20:28:10.380;1199;0.000;7.206
20:28:10.485;1299;0.000;7.215
20:28:10.616;1399;0.000;7.188
20:28:10.747;1499;0.000;7.236
20:28:10.770;1599;0.000;7.215
20:28:10.901;1699;0.000;7.197
20:28:11.008;1799;0.000;7.212
20:28:11.010;1899;0.000;7.210
20:28:11.120;1999;0.000;7.208
20:28:11.232;2099;0.000;7.227
20:28:11.341;2199;0.000;7.187
20:28:11.452;2299;0.000;7.211
20:28:11.559;2399;0.000;7.175
20:28:11.666;2499;0.000;7.222
20:28:11.771;2599;0.000;7.207
20:28:11.876;2699;0.000;7.191
20:28:11.981;2799;0.000;7.230
20:28:12.086;2899;0.000;7.223
20:28:12.197;2999;0.000;7.228
20:28:12.306;3099;0.000;7.210
20:28:12.310;3199;0.000;7.205
20:28:12.418;3299;0.000;7.205
20:28:12.526;3399;0.000;7.158
20:28:12.636;3499;0.000;7.175
20:28:12.741;3599;0.000;7.189
20:28:12.846;3699;0.000;7.197
20:28:12.951;3799;0.000;7.164
20:28:13.058;3899;0.000;7.227
20:28:13.166;3999;0.000;7.196
20:28:13.271;4099;0.000;7.169
20:28:13.376;4199;0.000;7.193
20:28:13.481;4299;0.000;7.198
20:28:13.586;4400;0.000;7.195
20:28:13.696;4499;0.000;7.193
20:28:13.807;4599;0.000;7.203
20:28:13.809;4699;0.000;7.209
20:28:13.919;4799;0.000;7.198
20:28:14.028;4900;0.000;7.216
20:28:14.136;4999;0.000;7.193
20:28:14.247;5099;0.000;7.216
20:28:14.360;5199;0.000;7.200
20:28:14.470;5299;0.000;7.164
20:28:14.582;5399;0.000;7.191
20:28:14.691;5500;0.000;7.195
20:28:14.796;5599;0.000;7.234
20:28:14.901;5699;0.000;7.178
20:28:14.903;5799;0.000;7.224
20:28:15.006;5899;0.000;7.200
20:28:15.111;5999;0.000;7.187
20:28:15.219;6099;0.000;7.201
20:28:15.326;6199;0.000;7.179
20:28:15.431;6299;30.000;7.271
20:28:15.536;6399;30.000;7.386
20:28:15.642;6499;30.000;7.591
20:28:15.754;6599;30.000;7.973
20:28:15.863;6699;30.000;8.073
20:28:15.972;6799;30.000;8.179
20:28:16.082;6899;30.000;8.366
20:28:16.195;6999;30.000;8.569
20:28:16.304;7099;30.000;8.825
20:28:16.305;7199;30.000;8.932
20:28:16.414;7299;30.000;9.155
20:28:16.524;7399;30.000;9.263
20:28:16.633;7499;30.000;9.474
20:28:16.745;7599;30.000;9.852
20:28:16.855;7699;30.000;9.930
20:28:16.965;7799;30.000;9.955
20:28:17.076;7899;30.000;10.210
20:28:17.186;7999;30.000;10.441
20:28:17.297;8099;30.000;10.465
20:28:17.408;8199;30.000;10.644
20:28:17.411;8299;30.000;10.769
20:28:17.518;8399;30.000;11.086
20:28:17.628;8499;30.000;11.204
20:28:17.738;8599;30.000;11.634
20:28:17.850;8699;30.000;11.327
20:28:17.961;8799;30.000;11.566
20:28:18.074;8900;30.000;11.736
20:28:18.184;8999;30.000;11.490
20:28:18.294;9099;30.000;11.871
20:28:18.404;9199;30.000;12.143
20:28:18.406;9299;30.000;11.863
20:28:18.515;9399;30.000;12.219
20:28:18.623;9499;30.000;12.023
20:28:18.734;9599;30.000;12.835
20:28:18.841;9699;30.000;13.304
20:28:18.951;9799;30.000;12.887
20:28:19.056;9899;30.000;13.194
20:28:19.161;9999;30.000;13.486
20:28:19.266;10099;30.000;13.279
20:28:19.370;10199;30.000;13.232
20:28:19.476;10299;30.000;13.660
20:28:19.581;10399;30.000;13.118
20:28:19.686;10499;30.000;13.133
