;;;;tempo (s);sp;fb
21:50:38.514;124799;80.000;76856;91,600;73,463;70,319
21:50:38.626;124899;80.000;76686;91,700;73,463;70,149
21:50:38.737;124999;80.000;76782;91,800;73,463;70,245
21:50:38.845;125099;80.000;76337;91,900;73,463;69,800
21:50:38.958;125199;80.000;76381;92,000;73,463;69,844
21:50:39.065;125299;80.000;76786;92,100;73,463;70,249
21:50:39.171;125399;80.000;76500;92,200;73,463;69,963
21:50:39.278;125499;80.000;76586;92,300;73,463;70,049
21:50:39.280;125599;80.000;76317;92,400;73,463;69,780
21:50:39.385;125699;80.000;76414;92,500;73,463;69,877
21:50:39.491;125799;80.000;76489;92,600;73,463;69,952
21:50:39.602;125899;80.000;76832;92,700;73,463;70,295
21:50:39.713;125999;80.000;76452;92,800;73,463;69,915
21:50:39.824;126099;80.000;76663;92,900;73,463;70,126
21:50:39.934;126199;80.000;76172;93,000;73,463;69,635
21:50:40.045;126299;80.000;76665;93,100;73,463;70,128
21:50:40.156;126399;80.000;76805;93,200;73,463;70,268
21:50:40.267;126499;80.000;76729;93,300;73,463;70,192
21:50:40.380;126599;80.000;77040;93,400;73,463;70,503
21:50:40.381;126699;80.000;76716;93,500;73,463;70,179
21:50:40.491;126799;80.000;76324;93,600;73,463;69,787
21:50:40.601;126899;80.000;76672;93,700;73,463;70,135
21:50:40.706;126999;80.000;76741;93,800;73,463;70,204
21:50:40.811;127099;80.000;76532;93,900;73,463;69,995
21:50:40.916;127199;80.000;77027;94,000;73,463;70,490
21:50:41.021;127299;80.000;76565;94,100;73,463;70,028
21:50:41.126;127399;80.000;76303;94,200;73,463;69,766
21:50:41.232;127499;80.000;76611;94,300;73,463;70,074
21:50:41.344;127599;80.000;76861;94,400;73,463;70,324
21:50:41.452;127699;80.000;76593;94,500;73,463;70,056
21:50:41.563;127799;80.000;76371;94,600;73,463;69,834
21:50:41.675;127899;80.000;76452;94,700;73,463;69,915
21:50:41.783;127999;80.000;76648;94,800;73,463;70,111
21:50:41.786;128099;80.000;76546;94,900;73,463;70,009
21:50:41.896;128199;80.000;76689;95,000;73,463;70,152
21:50:42.005;128299;80.000;76590;95,100;73,463;70,053
21:50:42.114;128399;80.000;76561;95,200;73,463;70,024
21:50:42.220;128499;80.000;76740;95,300;73,463;70,203
21:50:42.326;128599;80.000;76483;95,400;73,463;69,946
21:50:42.431;128699;80.000;76476;95,500;73,463;69,939
21:50:42.535;128799;80.000;76528;95,600;73,463;69,991
21:50:42.641;128899;80.000;76476;95,700;73,463;69,939
21:50:42.746;128999;80.000;76687;95,800;73,463;70,150
21:50:42.854;129099;80.000;76675;95,900;73,463;70,138
21:50:42.961;129199;80.000;76489;96,000;73,463;69,952
21:50:43.066;129299;80.000;76154;96,100;73,463;69,617
21:50:43.174;129399;80.000;76351;96,200;73,463;69,814
21:50:43.281;129499;80.000;76421;96,300;73,463;69,884
21:50:43.283;129599;80.000;76117;96,400;73,463;69,580
21:50:43.391;129699;80.000;76444;96,500;73,463;69,907
21:50:43.500;129799;80.000;76742;96,600;73,463;70,205
21:50:43.606;129899;80.000;76493;96,700;73,463;69,956
21:50:43.718;129999;80.000;76377;96,800;73,463;69,840
21:50:43.826;130099;80.000;76594;96,900;73,463;70,057
21:50:43.936;130199;80.000;76623;97,000;73,463;70,086
21:50:44.045;130299;80.000;76948;97,100;73,463;70,411
21:50:44.154;130399;80.000;76599;97,200;73,463;70,062
21:50:44.261;130499;80.000;76362;97,300;73,463;69,825
21:50:44.366;130599;80.000;76328;97,400;73,463;69,791
21:50:44.470;130699;80.000;76687;97,500;73,463;70,150
21:50:44.575;130799;80.000;76216;97,600;73,463;69,679
21:50:44.681;130899;80.000;76565;97,700;73,463;70,028
21:50:44.685;130999;80.000;76373;97,800;73,463;69,836
21:50:44.788;131099;80.000;76931;97,900;73,463;70,394
21:50:44.896;131199;80.000;76469;98,000;73,463;69,932
21:50:45.001;131299;80.000;76569;98,100;73,463;70,032
21:50:45.106;131399;80.000;76522;98,200;73,463;69,985
21:50:45.216;131499;80.000;76313;98,300;73,463;69,776
21:50:45.326;131599;80.000;76629;98,400;73,463;70,092
21:50:45.431;131699;80.000;76185;98,500;73,463;69,648
21:50:45.544;131799;80.000;76418;98,600;73,463;69,881
21:50:45.653;131899;80.000;76432;98,700;73,463;69,895
21:50:45.760;131999;80.000;76415;98,800;73,463;69,878
21:50:45.870;132099;80.000;76508;98,900;73,463;69,971
21:50:45.980;132199;80.000;76322;99,000;73,463;69,785
21:50:45.982;132299;80.000;76447;99,100;73,463;69,910
21:50:46.088;132399;80.000;76665;99,200;73,463;70,128
21:50:46.196;132499;80.000;77131;99,300;73,463;70,594
21:50:46.308;132599;80.000;76232;99,400;73,463;69,695
21:50:46.420;132699;80.000;76707;99,500;73,463;70,170
21:50:46.526;132799;80.000;76457;99,600;73,463;69,920
21:50:46.635;132899;80.000;76721;99,700;73,463;70,184
21:50:46.743;132999;80.000;76379;99,800;73,463;69,842
21:50:46.854;133099;80.000;76673;99,900;73,463;70,136
21:50:46.961;133199;80.000;76524;100,000;73,463;69,987
21:50:47.072;133299;80.000;76358;100,100;73,463;69,821
21:50:47.184;133399;80.000;76298;100,200;73,463;69,761
21:50:47.187;133499;80.000;76649;100,300;73,463;70,112
21:50:47.296;133599;80.000;76644;100,400;73,463;70,107
21:50:47.407;133699;80.000;76548;100,500;73,463;70,011
21:50:47.518;133799;80.000;76554;100,600;73,463;70,017
21:50:47.629;133899;80.000;76434;100,700;73,463;69,897
21:50:47.741;133999;80.000;76739;100,800;73,463;70,202
21:50:47.850;134099;80.000;76699;100,900;73,463;70,162
21:50:47.956;134199;80.000;76028;101,000;73,463;69,491
21:50:48.063;134299;80.000;76236;101,100;73,463;69,699
21:50:48.171;134399;80.000;76222;101,200;73,463;69,685
21:50:48.280;134499;80.000;76563;101,300;73,463;70,026
21:50:48.283;134599;80.000;76307;101,400;73,463;69,770
21:50:48.388;134699;80.000;76642;101,500;73,463;70,105
21:50:48.499;134799;80.000;76492;101,600;73,463;69,955
21:50:48.609;134899;80.000;76184;101,700;73,463;69,647
21:50:48.719;134999;80.000;76369;101,800;73,463;69,832
21:50:48.826;135099;80.000;76105;101,900;73,463;69,568
21:50:48.933;135199;80.000;76417;102,000;73,463;69,880
21:50:49.041;135299;80.000;76563;102,100;73,463;70,026
21:50:49.151;135399;80.000;76586;102,200;73,463;70,049
21:50:49.256;135499;80.000;76787;102,300;73,463;70,250
21:50:49.364;135599;80.000;76360;102,400;73,463;69,823
21:50:49.472;135699;80.000;77198;102,500;73,463;70,661
21:50:49.580;135799;80.000;76911;102,600;73,463;70,374
21:50:49.582;135899;80.000;76111;102,700;73,463;69,574
21:50:49.686;135999;80.000;76579;102,800;73,463;70,042
21:50:49.796;136099;80.000;76225;102,900;73,463;69,688
21:50:49.906;136199;80.000;76619;103,000;73,463;70,082
21:50:50.018;136299;80.000;76308;103,100;73,463;69,771
21:50:50.126;136399;80.000;76447;103,200;73,463;69,910
21:50:50.238;136499;80.000;76109;103,300;73,463;69,572
21:50:50.346;136599;80.000;76510;103,400;73,463;69,973
21:50:50.451;136699;80.000;76677;103,500;73,463;70,140
21:50:50.556;136799;80.000;76241;103,600;73,463;69,704
21:50:50.661;136899;80.000;76690;103,700;73,463;70,153
21:50:50.768;136999;80.000;76673;103,800;73,463;70,136
21:50:50.876;137099;80.000;76279;103,900;73,463;69,742
21:50:50.981;137199;50.000;74041;104,000;43,463;67,504
21:50:50.984;137299;50.000;74078;104,100;43,463;67,541
21:50:51.086;137399;50.000;75140;104,200;43,463;68,603
21:50:51.193;137499;50.000;72741;104,300;43,463;66,204
21:50:51.301;137599;50.000;74244;104,400;43,463;67,707
21:50:51.406;137699;50.000;73511;104,500;43,463;66,974
21:50:51.511;137800;50.000;71982;104,601;43,463;65,445
21:50:51.616;137899;50.000;72336;104,700;43,463;65,799
21:50:51.721;137999;50.000;72462;104,800;43,463;65,925
21:50:51.826;138099;50.000;72603;104,900;43,463;66,066
21:50:51.936;138199;50.000;71598;105,000;43,463;65,061
21:50:52.047;138299;50.000;71498;105,100;43,463;64,961
21:50:52.159;138399;50.000;67462;105,200;43,463;60,925
21:50:52.268;138499;50.000;70067;105,300;43,463;63,530
21:50:52.375;138599;50.000;66526;105,400;43,463;59,989
21:50:52.481;138699;50.000;68999;105,500;43,463;62,462
21:50:52.484;138799;50.000;66997;105,600;43,463;60,460
21:50:52.586;138899;50.000;67832;105,700;43,463;61,295
21:50:52.691;138999;50.000;66845;105,800;43,463;60,308
21:50:52.796;139099;50.000;67045;105,900;43,463;60,508
21:50:52.903;139199;50.000;67153;106,000;43,463;60,616
21:50:53.014;139299;50.000;66624;106,100;43,463;60,087
21:50:53.125;139399;50.000;67025;106,200;43,463;60,488
21:50:53.237;139499;50.000;66648;106,300;43,463;60,111
21:50:53.348;139599;50.000;66572;106,400;43,463;60,035
21:50:53.455;139699;50.000;66333;106,500;43,463;59,796
21:50:53.561;139799;50.000;66196;106,600;43,463;59,659
21:50:53.666;139899;50.000;65885;106,700;43,463;59,348
21:50:53.771;139999;50.000;66729;106,800;43,463;60,192
21:50:53.876;140099;50.000;65470;106,900;43,463;58,933
21:50:53.878;140199;50.000;65463;107,000;43,463;58,926
21:50:53.981;140299;50.000;65567;107,100;43,463;59,030
21:50:54.090;140399;50.000;65945;107,200;43,463;59,408
21:50:54.196;140499;50.000;64924;107,300;43,463;58,387
21:50:54.301;140599;50.000;64756;107,400;43,463;58,219
21:50:54.405;140699;50.000;65045;107,500;43,463;58,508
21:50:54.515;140799;50.000;64540;107,600;43,463;58,003
21:50:54.625;140899;50.000;63382;107,700;43,463;56,845
21:50:54.731;140999;50.000;63083;107,800;43,463;56,546
21:50:54.836;141099;50.000;62467;107,900;43,463;55,930
21:50:54.942;141199;50.000;63149;108,000;43,463;56,612
21:50:55.054;141299;50.000;64213;108,100;43,463;57,676
21:50:55.162;141399;50.000;63077;108,200;43,463;56,540
21:50:55.272;141499;50.000;63543;108,300;43,463;57,006
21:50:55.384;141599;50.000;61853;108,400;43,463;55,316
21:50:55.386;141699;50.000;62948;108,500;43,463;56,411
21:50:55.494;141799;50.000;60713;108,600;43,463;54,176
21:50:55.601;141899;50.000;63810;108,700;43,463;57,273
21:50:55.706;141999;50.000;64052;108,800;43,463;57,515
21:50:55.815;142099;50.000;61853;108,900;43,463;55,316
21:50:55.922;142199;50.000;60859;109,000;43,463;54,322
21:50:56.031;142299;50.000;60827;109,100;43,463;54,290
21:50:56.142;142399;50.000;60027;109,200;43,463;53,490
21:50:56.252;142499;50.000;60046;109,300;43,463;53,509
21:50:56.364;142599;50.000;61106;109,400;43,463;54,569
21:50:56.472;142699;50.000;60305;109,500;43,463;53,768
21:50:56.584;142799;50.000;61560;109,600;43,463;55,023
21:50:56.585;142899;50.000;61449;109,700;43,463;54,912
21:50:56.691;142999;50.000;60203;109,800;43,463;53,666
21:50:56.803;143099;50.000;60251;109,900;43,463;53,714
21:50:56.913;143199;50.000;60468;110,000;43,463;53,931
21:50:57.026;143299;50.000;60313;110,100;43,463;53,776
21:50:57.135;143399;50.000;59526;110,200;43,463;52,989
21:50:57.241;143499;50.000;60630;110,300;43,463;54,093
21:50:57.350;143599;50.000;59579;110,400;43,463;53,042
21:50:57.462;143699;50.000;60016;110,500;43,463;53,479
21:50:57.572;143799;50.000;60330;110,600;43,463;53,793
21:50:57.676;143899;50.000;61783;110,700;43,463;55,246
21:50:57.678;143999;50.000;59517;110,800;43,463;52,980
21:50:57.785;144099;50.000;59900;110,900;43,463;53,363
21:50:57.895;144199;50.000;61083;111,000;43,463;54,546
21:50:58.005;144299;50.000;59402;111,100;43,463;52,865
21:50:58.111;144399;50.000;59751;111,200;43,463;53,214
21:50:58.216;144499;50.000;60347;111,300;43,463;53,810
21:50:58.321;144599;50.000;61288;111,400;43,463;54,751
21:50:58.430;144699;50.000;60174;111,500;43,463;53,637
21:50:58.536;144799;50.000;61302;111,600;43,463;54,765
21:50:58.646;144899;50.000;59727;111,700;43,463;53,190
21:50:58.756;144999;50.000;58974;111,800;43,463;52,437
21:50:58.864;145099;50.000;59678;111,900;43,463;53,141
21:50:58.973;145199;50.000;62325;112,000;43,463;55,788
21:50:59.080;145299;50.000;59057;112,100;43,463;52,520
21:50:59.083;145399;50.000;59098;112,200;43,463;52,561
21:50:59.191;145499;50.000;60264;112,300;43,463;53,727
21:50:59.299;145599;50.000;58759;112,400;43,463;52,222
21:50:59.406;145699;50.000;60934;112,500;43,463;54,397
21:50:59.515;145799;50.000;58721;112,600;43,463;52,184
21:50:59.621;145899;50.000;60224;112,700;43,463;53,687
21:50:59.727;145999;50.000;59868;112,800;43,463;53,331
21:50:59.832;146099;50.000;58494;112,900;43,463;51,957
21:50:59.940;146199;50.000;58857;113,000;43,463;52,320
21:51:00.047;146299;50.000;58645;113,100;43,463;52,108
21:51:00.155;146399;50.000;58774;113,200;43,463;52,237
21:51:00.265;146499;50.000;58998;113,300;43,463;52,461
21:51:00.375;146599;50.000;58360;113,400;43,463;51,823
21:51:00.487;146699;50.000;59183;113,500;43,463;52,646
21:51:00.489;146799;50.000;59115;113,600;43,463;52,578
21:51:00.596;146899;50.000;58661;113,700;43,463;52,124
21:51:00.708;146999;50.000;58589;113,800;43,463;52,052
21:51:00.817;147099;50.000;58656;113,900;43,463;52,119
21:51:00.925;147199;50.000;59472;114,000;43,463;52,935
21:51:01.032;147299;50.000;58588;114,100;43,463;52,051
21:51:01.142;147399;50.000;58376;114,200;43,463;51,839
21:51:01.252;147499;50.000;58424;114,300;43,463;51,887
21:51:01.363;147599;50.000;58554;114,400;43,463;52,017
21:51:01.475;147699;50.000;58957;114,500;43,463;52,420
21:51:01.586;147799;50.000;58901;114,600;43,463;52,364
21:51:01.588;147899;50.000;59146;114,700;43,463;52,609
21:51:01.698;147999;50.000;58484;114,800;43,463;51,947
21:51:01.810;148099;50.000;60158;114,900;43,463;53,621
21:51:01.919;148199;50.000;58969;115,000;43,463;52,432
21:51:02.031;148299;50.000;58110;115,100;43,463;51,573
21:51:02.141;148399;50.000;58361;115,200;43,463;51,824
21:51:02.253;148499;50.000;59035;115,300;43,463;52,498
21:51:02.364;148599;50.000;58327;115,400;43,463;51,790
21:51:02.474;148699;50.000;58352;115,500;43,463;51,815
21:51:02.586;148799;50.000;57770;115,600;43,463;51,233
21:51:02.587;148899;50.000;59839;115,700;43,463;53,302
21:51:02.696;148999;50.000;58235;115,800;43,463;51,698
21:51:02.805;149099;50.000;58665;115,900;43,463;52,128
21:51:02.914;149199;50.000;58201;116,000;43,463;51,664
21:51:03.026;149299;50.000;58624;116,100;43,463;52,087
21:51:03.138;149399;50.000;58077;116,200;43,463;51,540
21:51:03.246;149499;50.000;58191;116,300;43,463;51,654
21:51:03.354;149599;50.000;58056;116,400;43,463;51,519
21:51:03.465;149699;50.000;58049;116,500;43,463;51,512
21:51:03.577;149799;50.000;57957;116,600;43,463;51,420
21:51:03.579;149899;50.000;58608;116,700;43,463;52,071
21:51:03.689;149999;50.000;58447;116,800;43,463;51,910
21:51:03.796;150099;50.000;59172;116,900;43,463;52,635
21:51:03.901;150199;50.000;58741;117,000;43,463;52,204
21:51:04.007;150299;50.000;58232;117,100;43,463;51,695
21:51:04.111;150399;50.000;58582;117,200;43,463;52,045
21:51:04.216;150499;50.000;59014;117,300;43,463;52,477
21:51:04.321;150599;50.000;58388;117,400;43,463;51,851
21:51:04.426;150699;50.000;58657;117,500;43,463;52,120
21:51:04.531;150799;50.000;59298;117,600;43,463;52,761
21:51:04.636;150899;50.000;58150;117,700;43,463;51,613
21:51:04.744;150999;50.000;58477;117,800;43,463;51,940
21:51:04.855;151099;50.000;58328;117,900;43,463;51,791
21:51:04.967;151199;50.000;58627;118,000;43,463;52,090
21:51:05.079;151299;50.000;58225;118,100;43,463;51,688
21:51:05.081;151399;50.000;59064;118,200;43,463;52,527
21:51:05.189;151499;50.000;58247;118,300;43,463;51,710
21:51:05.301;151599;50.000;57984;118,400;43,463;51,447
21:51:05.409;151699;50.000;57333;118,500;43,463;50,796
21:51:05.517;151799;50.000;58166;118,600;43,463;51,629
21:51:05.630;151899;50.000;59499;118,700;43,463;52,962
21:51:05.741;151999;50.000;59459;118,800;43,463;52,922
21:51:05.851;152099;50.000;58719;118,900;43,463;52,182
21:51:05.963;152199;50.000;57812;119,000;43,463;51,275
21:51:06.075;152299;50.000;60478;119,100;43,463;53,941
21:51:06.186;152399;50.000;57929;119,200;43,463;51,392
21:51:06.189;152499;50.000;58605;119,300;43,463;52,068
21:51:06.293;152599;50.000;57995;119,400;43,463;51,458
21:51:06.401;152699;50.000;58108;119,500;43,463;51,571
21:51:06.505;152799;50.000;58055;119,600;43,463;51,518
21:51:06.610;152899;50.000;57524;119,700;43,463;50,987
21:51:06.716;152999;50.000;57958;119,800;43,463;51,421
21:51:06.824;153099;50.000;57908;119,900;43,463;51,371
21:51:06.936;153199;50.000;58051;120,000;43,463;51,514
21:51:07.048;153299;50.000;58916;120,100;43,463;52,379
21:51:07.158;153399;50.000;58185;120,200;43,463;51,648
21:51:07.268;153499;50.000;58544;120,300;43,463;52,007
21:51:07.376;153599;50.000;59608;120,400;43,463;53,071
21:51:07.378;153699;50.000;58308;120,500;43,463;51,771
21:51:07.481;153799;50.000;57799;120,600;43,463;51,262
21:51:07.586;153899;50.000;57379;120,700;43,463;50,842
21:51:07.695;153999;50.000;59059;120,800;43,463;52,522
21:51:07.806;154099;50.000;57803;120,900;43,463;51,266
21:51:07.915;154199;50.000;58177;121,000;43,463;51,640
21:51:08.022;154299;50.000;58355;121,100;43,463;51,818
21:51:08.132;154399;50.000;57921;121,200;43,463;51,384
21:51:08.244;154499;50.000;58376;121,300;43,463;51,839
21:51:08.351;154599;50.000;55298;121,400;43,463;48,761
21:51:08.456;154699;50.000;59340;121,500;43,463;52,803
21:51:08.561;154799;50.000;58378;121,600;43,463;51,841
21:51:08.666;154899;50.000;57801;121,700;43,463;51,264
21:51:08.771;154999;50.000;58274;121,800;43,463;51,737
21:51:08.880;155099;50.000;57784;121,900;43,463;51,247
21:51:08.882;155199;50.000;57809;122,000;43,463;51,272
21:51:08.993;155299;50.000;57896;122,100;43,463;51,359
21:51:09.103;155399;50.000;58804;122,200;43,463;52,267
21:51:09.214;155499;50.000;58338;122,300;43,463;51,801
21:51:09.325;155599;50.000;58131;122,400;43,463;51,594
21:51:09.436;155699;50.000;58574;122,500;43,463;52,037
21:51:09.547;155799;50.000;58920;122,600;43,463;52,383
21:51:09.656;155899;50.000;59113;122,700;43,463;52,576
21:51:09.764;155999;50.000;59022;122,800;43,463;52,485
21:51:09.876;156099;50.000;57933;122,900;43,463;51,396
21:51:09.877;156199;50.000;57202;123,000;43,463;50,665
21:51:09.984;156299;50.000;57426;123,100;43,463;50,889
21:51:10.090;156399;50.000;57549;123,200;43,463;51,012
21:51:10.196;156499;50.000;57318;123,300;43,463;50,781
21:51:10.301;156599;50.000;58487;123,400;43,463;51,950
21:51:10.409;156699;50.000;57608;123,500;43,463;51,071
21:51:10.520;156799;50.000;58184;123,600;43,463;51,647
21:51:10.631;156899;50.000;59027;123,700;43,463;52,490
21:51:10.743;156999;50.000;58144;123,800;43,463;51,607
21:51:10.855;157099;50.000;58415;123,900;43,463;51,878
21:51:10.967;157199;50.000;57888;124,000;43,463;51,351
21:51:11.078;157299;50.000;59291;124,100;43,463;52,754
21:51:11.081;157399;50.000;57746;124,200;43,463;51,209
21:51:11.191;157499;50.000;59658;124,300;43,463;53,121
21:51:11.301;157599;50.000;58071;124,400;43,463;51,534
21:51:11.411;157699;50.000;58029;124,500;43,463;51,492
21:51:11.516;157799;50.000;57388;124,600;43,463;50,851
21:51:11.620;157899;50.000;59830;124,700;43,463;53,293
21:51:11.727;157999;50.000;58169;124,800;43,463;51,632
21:51:11.835;158099;50.000;58152;124,900;43,463;51,615
21:51:11.945;158199;50.000;58755;125,000;43,463;52,218
21:51:12.056;158299;50.000;57246;125,100;43,463;50,709
21:51:12.165;158399;50.000;58400;125,200;43,463;51,863
21:51:12.271;158499;50.000;57900;125,300;43,463;51,363
21:51:12.376;158599;50.000;57884;125,400;43,463;51,347
21:51:12.377;158699;50.000;57658;125,500;43,463;51,121
21:51:12.482;158799;50.000;58767;125,600;43,463;52,230
21:51:12.591;158899;50.000;57541;125,700;43,463;51,004
21:51:12.696;158999;50.000;57920;125,800;43,463;51,383
21:51:12.801;159099;50.000;57972;125,900;43,463;51,435
21:51:12.906;159199;50.000;56569;126,000;43,463;50,032
21:51:13.018;159299;50.000;58213;126,100;43,463;51,676
21:51:13.129;159399;50.000;58420;126,200;43,463;51,883
21:51:13.241;159499;50.000;59366;126,300;43,463;52,829
21:51:13.352;159599;50.000;58589;126,400;43,463;52,052
21:51:13.461;159699;50.000;58265;126,500;43,463;51,728
21:51:13.569;159799;50.000;59118;126,600;43,463;52,581
21:51:13.675;159899;50.000;58039;126,700;43,463;51,502
21:51:13.677;159999;50.000;58077;126,800;43,463;51,540
21:51:13.788;160099;50.000;58118;126,900;43,463;51,581
21:51:13.900;160199;30.000;58107;127,000;23,463;51,570
21:51:14.010;160299;30.000;57073;127,100;23,463;50,536
21:51:14.117;160399;30.000;56762;127,200;23,463;50,225
21:51:14.227;160499;30.000;55235;127,300;23,463;48,698
21:51:14.337;160599;30.000;53471;127,400;23,463;46,934
21:51:14.446;160699;30.000;56274;127,500;23,463;49,737
21:51:14.558;160799;30.000;54327;127,600;23,463;47,790
21:51:14.669;160900;30.000;52777;127,701;23,463;46,240
21:51:14.778;160999;30.000;52419;127,800;23,463;45,882
21:51:14.780;161099;30.000;52436;127,900;23,463;45,899
21:51:14.886;161199;30.000;52965;128,000;23,463;46,428
21:51:14.996;161299;30.000;53404;128,100;23,463;46,867
21:51:15.108;161399;30.000;52549;128,200;23,463;46,012
21:51:15.218;161499;30.000;51502;128,300;23,463;44,965
21:51:15.329;161599;30.000;51671;128,400;23,463;45,134
21:51:15.439;161699;30.000;50914;128,500;23,463;44,377
21:51:15.549;161799;30.000;51000;128,600;23,463;44,463
21:51:15.661;161899;30.000;50836;128,700;23,463;44,299
21:51:15.773;161999;30.000;49385;128,800;23,463;42,848
21:51:15.886;162099;30.000;48080;128,900;23,463;41,543
21:51:15.888;162199;30.000;48476;129,000;23,463;41,939
21:51:15.996;162299;30.000;47345;129,100;23,463;40,808
21:51:16.108;162399;30.000;46876;129,200;23,463;40,339
21:51:16.217;162499;30.000;48650;129,300;23,463;42,113
21:51:16.329;162599;30.000;46342;129,400;23,463;39,805
21:51:16.440;162699;30.000;47642;129,500;23,463;41,105
21:51:16.550;162799;30.000;46592;129,600;23,463;40,055
21:51:16.658;162899;30.000;45911;129,700;23,463;39,374
21:51:16.761;162999;30.000;45520;129,800;23,463;38,983
21:51:16.866;163099;30.000;45924;129,900;23,463;39,387
21:51:16.971;163199;30.000;45031;130,000;23,463;38,494
21:51:17.079;163299;30.000;44853;130,100;23,463;38,316
21:51:17.081;163399;30.000;45665;130,200;23,463;39,128
21:51:17.190;163499;30.000;45097;130,300;23,463;38,560
21:51:17.302;163599;30.000;46943;130,400;23,463;40,406
21:51:17.412;163699;30.000;44439;130,500;23,463;37,902
21:51:17.524;163799;30.000;44332;130,600;23,463;37,795
21:51:17.631;163899;30.000;44078;130,700;23,463;37,541
21:51:17.736;163999;30.000;44505;130,800;23,463;37,968
21:51:17.841;164099;30.000;45897;130,900;23,463;39,360
21:51:17.946;164199;30.000;44694;131,000;23,463;38,157
21:51:18.051;164299;30.000;42490;131,100;23,463;35,953
21:51:18.162;164399;30.000;43556;131,200;23,463;37,019
21:51:18.271;164499;30.000;42784;131,300;23,463;36,247
21:51:18.382;164599;30.000;43404;131,400;23,463;36,867
21:51:18.383;164699;30.000;42400;131,500;23,463;35,863
21:51:18.492;164799;30.000;43763;131,600;23,463;37,226
21:51:18.599;164899;30.000;40334;131,700;23,463;33,797
21:51:18.709;164999;30.000;43238;131,800;23,463;36,701
21:51:18.818;165099;30.000;42865;131,900;23,463;36,328
21:51:18.926;165199;30.000;43005;132,000;23,463;36,468
21:51:19.035;165299;30.000;43005;132,100;23,463;36,468
21:51:19.145;165399;30.000;41567;132,200;23,463;35,030
21:51:19.251;165499;30.000;40666;132,300;23,463;34,129
21:51:19.360;165599;30.000;39757;132,400;23,463;33,220
21:51:19.466;165699;30.000;41185;132,500;23,463;34,648
21:51:19.571;165799;30.000;42741;132,600;23,463;36,204
21:51:19.680;165899;30.000;41070;132,700;23,463;34,533
21:51:19.683;165999;30.000;40759;132,800;23,463;34,222
21:51:19.788;166099;30.000;41473;132,900;23,463;34,936
21:51:19.895;166199;30.000;39651;133,000;23,463;33,114
21:51:20.001;166299;30.000;39352;133,100;23,463;32,815
21:51:20.107;166399;30.000;40053;133,200;23,463;33,516
21:51:20.215;166499;30.000;39236;133,300;23,463;32,699
21:51:20.327;166599;30.000;39052;133,400;23,463;32,515
21:51:20.439;166699;30.000;40096;133,500;23,463;33,559
21:51:20.550;166799;30.000;40888;133,600;23,463;34,351
21:51:20.658;166899;30.000;39440;133,700;23,463;32,903
21:51:20.766;166999;30.000;39714;133,800;23,463;33,177
21:51:20.871;167099;30.000;40260;133,900;23,463;33,723
21:51:20.977;167199;30.000;39823;134,000;23,463;33,286
21:51:20.979;167299;30.000;40735;134,100;23,463;34,198
21:51:21.088;167399;30.000;40315;134,200;23,463;33,778
21:51:21.200;167499;30.000;38792;134,300;23,463;32,255
21:51:21.310;167599;30.000;38516;134,400;23,463;31,979
21:51:21.421;167699;30.000;39497;134,500;23,463;32,960
21:51:21.533;167799;30.000;38903;134,600;23,463;32,366
21:51:21.643;167899;30.000;38208;134,700;23,463;31,671
21:51:21.754;167999;30.000;38234;134,800;23,463;31,697
21:51:21.866;168099;30.000;39346;134,900;23,463;32,809
21:51:21.978;168199;30.000;37861;135,000;23,463;31,324
21:51:21.981;168299;30.000;37942;135,100;23,463;31,405
21:51:22.088;168399;30.000;37971;135,200;23,463;31,434
21:51:22.199;168499;30.000;38043;135,300;23,463;31,506
21:51:22.308;168599;30.000;38270;135,400;23,463;31,733
21:51:22.420;168699;30.000;39400;135,500;23,463;32,863
21:51:22.532;168799;30.000;38167;135,600;23,463;31,630
21:51:22.638;168899;30.000;40309;135,700;23,463;33,772
21:51:22.747;168999;30.000;39307;135,800;23,463;32,770
21:51:22.859;169099;30.000;38544;135,900;23,463;32,007
21:51:22.971;169199;30.000;37303;136,000;23,463;30,766
21:51:23.082;169299;30.000;38020;136,100;23,463;31,483
21:51:23.086;169399;30.000;37054;136,200;23,463;30,517
21:51:23.192;169499;30.000;37063;136,300;23,463;30,526
21:51:23.299;169599;30.000;38214;136,400;23,463;31,677
21:51:23.406;169699;30.000;37192;136,500;23,463;30,655
21:51:23.514;169799;30.000;38336;136,600;23,463;31,799
21:51:23.626;169899;30.000;38595;136,700;23,463;32,058
21:51:23.736;169999;30.000;38603;136,800;23,463;32,066
21:51:23.844;170099;30.000;38555;136,900;23,463;32,018
21:51:23.954;170199;30.000;37737;137,000;23,463;31,200
21:51:24.061;170299;30.000;38302;137,100;23,463;31,765
21:51:24.170;170399;30.000;36437;137,200;23,463;29,900
21:51:24.280;170499;30.000;38300;137,300;23,463;31,763
21:51:24.282;170599;30.000;38599;137,400;23,463;32,062
21:51:24.386;170699;30.000;38606;137,500;23,463;32,069
21:51:24.491;170799;30.000;36603;137,600;23,463;30,066
21:51:24.600;170899;30.000;38577;137,700;23,463;32,040
21:51:24.706;170999;30.000;38156;137,800;23,463;31,619
21:51:24.815;171099;30.000;38449;137,900;23,463;31,912
21:51:24.928;171199;30.000;37177;138,000;23,463;30,640
21:51:25.038;171299;30.000;37750;138,100;23,463;31,213
